Type,N,Algorithm,Time_ms,CharCmp
Random,100,StdQuickSort,0.0922666,3804
Random,100,StdMergeSort,0.054917,603
Random,100,3WayQuickSort,0.0351666,849
Random,100,StringMergeSort,0.0835084,1152
Random,100,MSDRadixSort,0.21185,0
Random,100,MSDRadix+Quick,0.025225,83
Random,200,StdQuickSort,0.20765,8365
Random,200,StdMergeSort,0.122292,1548
Random,200,3WayQuickSort,0.0767584,2341
Random,200,StringMergeSort,0.186142,2770
Random,200,MSDRadixSort,0.356975,0
Random,200,MSDRadix+Quick,0.0507832,292
Random,300,StdQuickSort,0.314009,12675
Random,300,StdMergeSort,0.210209,2526
Random,300,3WayQuickSort,0.173708,3546
Random,300,StringMergeSort,0.312075,4639
Random,300,MSDRadixSort,0.465367,0
Random,300,MSDRadix+Quick,0.0812168,606
Random,400,StdQuickSort,0.425425,15861
Random,400,StdMergeSort,0.285875,3650
Random,400,3WayQuickSort,0.16045,5083
Random,400,StringMergeSort,0.431384,6619
Random,400,MSDRadixSort,0.538933,0
Random,400,MSDRadix+Quick,0.110417,1012
Random,500,StdQuickSort,0.544533,21122
Random,500,StdMergeSort,0.3689,4885
Random,500,3WayQuickSort,0.209883,6619
Random,500,StringMergeSort,0.561025,8722
Random,500,MSDRadixSort,0.631492,0
Random,500,MSDRadix+Quick,0.145175,1471
Random,600,StdQuickSort,0.65835,25079
Random,600,StdMergeSort,0.457625,6198
Random,600,3WayQuickSort,0.251267,7825
Random,600,StringMergeSort,0.696408,10952
Random,600,MSDRadixSort,0.718992,0
Random,600,MSDRadix+Quick,0.177658,2009
Random,700,StdQuickSort,0.797942,30704
Random,700,StdMergeSort,0.542925,7556
Random,700,3WayQuickSort,0.31105,10383
Random,700,StringMergeSort,0.830425,13198
Random,700,MSDRadixSort,0.807008,0
Random,700,MSDRadix+Quick,0.219758,2559
Random,800,StdQuickSort,0.922892,33822
Random,800,StdMergeSort,0.634834,8988
Random,800,3WayQuickSort,0.357967,11303
Random,800,StringMergeSort,0.970067,15521
Random,800,MSDRadixSort,0.875916,0
Random,800,MSDRadix+Quick,0.252833,3133
